"role","skills","demand_count"
"Data Analyst","qlik","81"
"Data Analyst","r","866"
"Data Analyst","react","13"
"Data Analyst","redis","3"
"Data Analyst","redshift","67"
"Data Analyst","ruby","8"
"Data Analyst","rust","3"
"Data Analyst","sap","164"
"Data Analyst","sas","816"
"Data Analyst","sass","1"
"Data Analyst","scala","46"
"Data Analyst","scikit-learn","24"
"Data Analyst","seaborn","8"
"Data Analyst","selenium","1"
"Data Analyst","sharepoint","143"
"Data Analyst","sheets","118"
"Data Analyst","shell","39"
"Data Analyst","slack","11"
"Data Analyst","smartsheet","17"
"Data Analyst","snowflake","189"
"Data Analyst","solidity","1"
"Data Analyst","spark","156"
"Data Analyst","splunk","15"
"Data Analyst","spreadsheet","89"
"Data Analyst","spring","20"
"Data Analyst","spss","170"
"Data Analyst","sql","2515"
"Data Analyst","sql server","273"
"Data Analyst","sqlite","1"
"Data Analyst","ssis","80"
"Data Analyst","ssrs","104"
"Data Analyst","svn","1"
"Data Analyst","swift","3"
"Data Analyst","symphony","3"
"Data Analyst","t-sql","49"
"Data Analyst","tableau","1335"
"Data Analyst","tensorflow","20"
"Data Analyst","terminal","39"
"Data Analyst","terraform","3"
"Data Analyst","theano","1"
"Data Analyst","tidyverse","6"
"Data Analyst","trello","7"
"Data Analyst","twilio","1"
"Data Analyst","typescript","5"
"Data Analyst","unify","9"
"Data Analyst","unity","4"
"Data Analyst","unix","33"
"Data Analyst","unreal","4"
"Data Analyst","vb.net","4"
"Data Analyst","vba","157"
"Data Analyst","visio","85"
"Data Analyst","visual basic","35"
"Data Analyst","vmware","1"
"Data Analyst","vue","1"
"Data Analyst","watson","4"
"Data Analyst","webex","1"
"Data Analyst","windows","67"
"Data Analyst","wire","3"
"Data Analyst","word","455"
"Data Analyst","workfront","1"
"Data Analyst","wrike","1"
"Data Analyst","yarn","1"
"Data Analyst","zoom","14"
"Data Scientist","airflow","120"
"Data Scientist","airtable","7"
"Data Scientist","alteryx","70"
"Data Scientist","angular","14"
"Data Scientist","ansible","5"
"Data Scientist","apl","2"
"Data Scientist","arch","4"
"Data Scientist","asana","8"
"Data Scientist","asp.net","7"
"Data Scientist","assembly","9"
"Data Scientist","atlassian","16"
"Data Scientist","aurora","22"
"Data Scientist","aws","752"
"Data Scientist","azure","468"
"Data Scientist","bash","37"
"Data Scientist","bigquery","97"
"Data Scientist","bitbucket","28"
"Data Scientist","c","200"
"Data Scientist","c#","89"
"Data Scientist","c++","237"
"Data Scientist","cassandra","33"
"Data Scientist","centos","7"
"Data Scientist","chef","9"
"Data Scientist","clojure","2"
"Data Scientist","codecommit","2"
"Data Scientist","cognos","15"
"Data Scientist","confluence","41"
"Data Scientist","cordova","6"
"Data Scientist","couchbase","2"
"Data Scientist","crystal","19"
"Data Scientist","css","28"
"Data Scientist","dart","4"
"Data Scientist","databricks","244"
"Data Scientist","datarobot","12"
"Data Scientist","dax","13"
"Data Scientist","db2","16"
"Data Scientist","django","19"
"Data Scientist","docker","184"
"Data Scientist","dplyr","15"
"Data Scientist","dynamodb","9"
"Data Scientist","elasticsearch","59"
"Data Scientist","electron","4"
"Data Scientist","elixir","1"
"Data Scientist","erlang","4"
"Data Scientist","excel","518"
"Data Scientist","express","78"
"Data Scientist","fastapi","13"
"Data Scientist","firebase","2"
"Data Scientist","flask","26"
"Data Scientist","flow","123"
"Data Scientist","flutter","1"
"Data Scientist","fortran","3"
"Data Scientist","gcp","177"
"Data Scientist","gdpr","17"
"Data Scientist","ggplot2","68"
"Data Scientist","git","306"
"Data Scientist","github","146"
"Data Scientist","gitlab","26"
"Data Scientist","go","233"
"Data Scientist","golang","12"
"Data Scientist","graphql","4"
"Data Scientist","groovy","2"
"Data Scientist","hadoop","491"
"Data Scientist","haskell","1"
"Data Scientist","html","52"
"Data Scientist","hugging face","6"
"Data Scientist","ibm cloud","17"
"Data Scientist","java","454"
"Data Scientist","javascript","159"
"Data Scientist","jenkins","52"
"Data Scientist","jira","99"
"Data Scientist","jquery","17"
"Data Scientist","julia","60"
"Data Scientist","jupyter","122"
"Data Scientist","kafka","111"
"Data Scientist","keras","194"
"Data Scientist","kotlin","8"
"Data Scientist","kubernetes","113"
"Data Scientist","laravel","1"
"Data Scientist","linux","135"
"Data Scientist","lisp","1"
"Data Scientist","looker","125"
"Data Scientist","lua","1"
"Data Scientist","macos","3"
"Data Scientist","mariadb","6"
"Data Scientist","matlab","232"
"Data Scientist","matplotlib","190"
"Data Scientist","microsoft teams","1"
"Data Scientist","microstrategy","25"
"Data Scientist","monday.com","1"
"Data Scientist","mongo","4"
"Data Scientist","mongodb","138"
"Data Scientist","ms access","7"
"Data Scientist","mxnet","15"
"Data Scientist","mysql","111"
"Data Scientist","neo4j","24"
"Data Scientist","nltk","46"
"Data Scientist","no-sql","5"
"Data Scientist","node","6"
"Data Scientist","node.js","7"
"Data Scientist","nosql","197"
"Data Scientist","notion","10"
"Data Scientist","npm","1"
"Data Scientist","numpy","258"
"Data Scientist","objective-c","1"
"Data Scientist","opencv","33"
"Data Scientist","openstack","4"
"Data Scientist","oracle","171"
"Data Scientist","outlook","35"
"Data Scientist","pandas","354"
"Data Scientist","perl","49"
"Data Scientist","phoenix","41"
"Data Scientist","php","25"
"Data Scientist","planner","3"
"Data Scientist","plotly","80"
"Data Scientist","postgresql","73"
"Data Scientist","power bi","400"
"Data Scientist","powerpoint","163"
"Data Scientist","powershell","7"
"Data Scientist","puppet","3"
"Data Scientist","pyspark","162"
"Data Scientist","python","3352"
"Data Scientist","pytorch","419"
"Data Scientist","qlik","76"
"Data Scientist","qt","1"
"Data Scientist","r","1966"
"Data Scientist","react","27"
"Data Scientist","react.js","2"
"Data Scientist","redhat","1"
"Data Scientist","redis","13"
"Data Scientist","redshift","78"
"Data Scientist","rshiny","14"
"Data Scientist","ruby","58"
"Data Scientist","ruby on rails","4"
"Data Scientist","rust","14"
"Data Scientist","sap","65"
"Data Scientist","sas","948"
"Data Scientist","scala","295"
"Data Scientist","scikit-learn","302"
"Data Scientist","seaborn","75"
"Data Scientist","selenium","2"
"Data Scientist","sharepoint","51"
"Data Scientist","sheets","16"
"Data Scientist","shell","46"
"Data Scientist","slack","10"
"Data Scientist","smartsheet","1"
"Data Scientist","snowflake","227"
"Data Scientist","solidity","4"
"Data Scientist","spark","746"
"Data Scientist","splunk","48"
"Data Scientist","spreadsheet","34"
"Data Scientist","spring","52"
"Data Scientist","spss","125"
"Data Scientist","sql","2442"
"Data Scientist","sql server","113"
"Data Scientist","sqlite","7"
"Data Scientist","ssis","32"
"Data Scientist","ssrs","17"
"Data Scientist","svelte","1"
"Data Scientist","svn","8"
"Data Scientist","swift","8"
"Data Scientist","symphony","3"
"Data Scientist","t-sql","22"
"Data Scientist","tableau","1018"
"Data Scientist","tensorflow","483"
"Data Scientist","terminal","24"
"Data Scientist","terraform","20"
"Data Scientist","theano","21"
"Data Scientist","tidyverse","37"
"Data Scientist","trello","4"
"Data Scientist","typescript","9"
"Data Scientist","ubuntu","3"
"Data Scientist","unify","10"
"Data Scientist","unity","4"
"Data Scientist","unix","49"
"Data Scientist","unreal","6"
"Data Scientist","vb.net","2"
"Data Scientist","vba","46"
"Data Scientist","visio","9"
"Data Scientist","visual basic","11"
"Data Scientist","vmware","3"
"Data Scientist","vue","3"
"Data Scientist","vue.js","1"
"Data Scientist","watson","7"
"Data Scientist","windows","83"
"Data Scientist","word","168"
"Data Scientist","yarn","5"
"Data Scientist","zoom","11"
